cellID	geneID	regionID	x	y	z	seeds	intensity	spot_id
111	Tagln	990	182.2976	213.9950	8.0000	4	1752	62346
26	Hand1	304	50.8954	43.3750	20.0000	3	785	83484
59	Smarcd3	37	46.8262	125.0608	8.0000	3	1277	58604
111	Bmp2	97	91.1460	1.3103	8.0000	3	515	4852
71	Elf5	16	54.3442	158.7821	8.0000	3	1355	16020
166	Coro1a	60	116.8369	207.6702	8.0000	3	529	12973
7	Myh9	1181	20.9128	131.7149	8.0000	3	129	44744
78	Bambi	206	140.8340	45.8821	20.0000	3	878	75302
21	Ttn	385	43.6067	102.1491	20.0000	3	1867	98083
94	Tagln	479	62.4990	126.4769	8.0000	3	543	61835
184	Popdc2	1132	139.9261	34.7049	8.0000	3	1899	54195
111	Ttn	1683	171.3278	159.9232	8.0000	4	844	70185
44	Tal1	95	44.6891	80.1904	8.0000	4	231	63387
127	Ttn	1661	223.5200	127.3326	20.0000	3	541	99359
111	Col4a1	1738	126.2110	94.0272	8.0000	3	628	12850
111	Bambi	172	144.6037	59.6572	8.0000	4	224	3911
72	Nebl	340	51.2695	77.5996	8.0000	3	608	45388
151	Kdr	377	106.3256	224.5597	8.0000	4	641	35776
264	Kmt2b	31	210.2569	175.6747	8.0000	3	1428	36030
57	Fgfr2	70	41.9296	105.8989	8.0000	4	226	20812
17	Dnmt3b	79	20.2104	123.7966	8.0000	3	229	15175
42	Kcng1	163	89.4169	35.2261	20.0000	3	1256	85725
125	Esam	113	82.3773	55.6134	8.0000	4	253	18421
42	Tagln	585	190.8513	143.5801	20.0000	3	680	95392
111	Atp1b1	400	81.1248	159.4625	8.0000	3	1839	2639
55	Col1a1	949	42.9173	222.7792	8.0000	4	244	9922
111	Six1	5	94.9840	190.4360	8.0000	3	863	58406
255	Irx1	238	205.7703	86.8749	8.0000	3	828	33601
42	Otx2	13	73.1853	82.5982	20.0000	3	863	89946
111	Irx3	185	77.5831	137.1621	8.0000	4	996	34182
63	Myh9	1289	56.2680	191.1049	8.0000	3	703	44852
111	Vcam1	159	174.3264	152.3576	8.0000	4	1780	71829
275	Plac1	79	207.4210	224.0806	8.0000	3	1995	50393
21	Ash2l	19	44.5941	110.8958	20.0000	3	1298	74346
111	Dnmt3a	647	156.8070	51.0278	8.0000	4	1371	14938
111	Hapln1	413	77.3207	17.9202	8.0000	4	660	30426
39	Myh9	291	55.5041	157.7652	20.0000	4	619	88758
42	Irx1	166	90.1021	148.7034	20.0000	4	456	85028
141	Atp1b1	591	93.3097	188.5789	8.0000	4	1247	2830
283	Atp1b1	235	222.3907	132.1977	8.0000	4	1939	2474
111	Cdh5	296	107.1799	32.0608	8.0000	4	535	8002
97	Myh9	779	70.5072	197.3623	8.0000	3	1105	44342
44	Ttn	213	44.5293	84.2981	8.0000	4	1964	68715
151	Col1a1	24	105.9515	222.0880	8.0000	3	336	8997
42	Bak1	102	57.5354	125.1176	20.0000	3	331	75019
100	Gata2	201	75.7755	23.9249	8.0000	4	1163	24197
96	Popdc2	628	186.3805	193.3076	20.0000	4	828	92108
42	Meis1	12	112.5298	208.0720	20.0000	4	605	87904
288	Nr2f1	62	219.8942	219.4171	8.0000	4	1832	47256
46	Popdc2	1042	41.3942	25.1599	8.0000	4	1649	54105
111	Sox4	10	109.7751	84.5650	8.0000	3	1668	60172
99	Kmt2b	216	62.6449	103.0172	8.0000	4	311	36215
103	Trim10	78	67.9597	88.9945	8.0000	3	1490	68485
277	Ttn	1209	218.5832	13.1621	8.0000	4	710	69711
128	Tbx5	363	83.3985	211.2420	8.0000	3	1701	64184
25	Otx2	1	28.7098	77.2127	8.0000	3	1284	48045
284	Ptn	116	221.0309	167.9732	8.0000	3	517	55553
120	Hapln1	70	222.0369	186.9933	20.0000	4	541	83854
266	Dnmt3a	506	202.6439	196.9342	8.0000	4	1218	14797
125	Cbfa2t3	309	84.9502	61.9775	8.0000	3	759	6633
111	Nid1	414	171.4219	224.0010	8.0000	3	255	46235
42	Ptn	24	63.3344	181.5274	20.0000	4	1265	92466
264	Gata4	940	206.0795	168.3196	8.0000	4	224	25268
281	Ttn	1203	220.1812	191.7832	8.0000	3	320	69705
28	Irx1	356	34.2637	42.1164	8.0000	3	429	33719
21	Marcks	86	43.1018	108.3610	20.0000	3	309	87699
151	Pax8	1	105.4468	222.2888	8.0000	4	959	48174
34	Kmt2d	36	57.3910	146.6600	20.0000	4	992	86103
111	Krt18	532	181.5043	211.8295	8.0000	4	1639	37606
42	Fgfr2	166	186.1385	210.7574	20.0000	4	1889	80619
98	Xist	19	62.6559	71.3181	8.0000	4	596	73135
111	Hoxa1	16	69.0427	170.9255	8.0000	3	660	31733
111	Pcgf2	136	189.0554	64.7409	8.0000	4	458	48362
114	Krt18	805	70.7226	206.2023	8.0000	4	1933	37879
111	Pcgf5	143	76.3257	15.0601	8.0000	3	395	49166
46	Dll1	1	60.3937	34.3662	20.0000	4	527	78306
111	Slc4a1	14	92.8439	190.5183	8.0000	3	714	58510
111	Afp	67	181.1559	149.3933	8.0000	3	1955	339
107	Tmem108	528	68.0372	211.4208	8.0000	4	610	68224
111	Col26a1	33	179.7212	107.6831	8.0000	4	372	10827
85	Ttn	1246	180.1860	177.2364	20.0000	3	729	98944
111	Myh9	1282	213.6727	98.2045	8.0000	4	257	44845
176	Tmem37	1	134.6849	50.2440	8.0000	3	209	68310
143	Cdh5	311	89.3989	42.8392	8.0000	4	693	8017
231	Popdc2	950	174.2798	176.8835	8.0000	4	1983	54013
289	Foxf1	82	224.5615	129.9940	8.0000	3	391	22055
26	Atp1b1	388	56.7970	43.9342	20.0000	3	1714	74784
40	Pcgf2	315	37.3704	123.3385	8.0000	3	844	48541
9	Morc4	31	8.0105	113.4198	8.0000	4	1937	42884
105	Eng	760	75.6746	54.3178	8.0000	3	1670	16935
42	Hand1	191	46.3451	123.4883	20.0000	3	1695	83371
251	Smarcd3	133	200.9195	215.1906	8.0000	4	1559	58700
111	Ldhb	204	72.2590	141.7730	8.0000	4	226	38290
64	Tead2	632	54.3943	7.3544	8.0000	3	1470	65552
156	Eng	291	107.4702	46.8303	8.0000	3	642	16466
253	Col4a1	1012	196.6219	170.4872	8.0000	4	355	12124
56	Rgl1	15	73.5359	183.6077	20.0000	4	1970	92565
111	Gypa	9	199.7722	96.4195	8.0000	3	430	28090
111	Ccng1	8	169.5647	221.9826	8.0000	3	1995	6671
42	Kcng1	66	149.2742	201.3088	20.0000	3	605	85628
127	Rgl1	113	78.2312	195.1522	8.0000	4	866	55894
22	Myh9	91	49.6586	127.3145	20.0000	4	481	88558
278	Sfrp5	306	223.1040	158.9575	8.0000	4	1944	58191
246	Usp28	17	190.3375	166.5531	8.0000	4	1576	71317
61	Hand1	793	51.5110	182.5761	8.0000	4	645	29020
124	Eed	127	84.6450	175.1334	8.0000	3	382	15878
111	Gata4	637	125.1345	212.1833	8.0000	3	591	24965
65	Ttn	1728	76.2827	172.7730	20.0000	4	611	99426
98	Gata2	52	66.7274	64.7511	8.0000	4	731	24048
264	Col4a1	1455	210.7754	172.0664	8.0000	4	735	12567
106	Hapln1	72	202.0754	128.6156	20.0000	4	579	83856
98	Pecam1	40	65.6104	68.7498	8.0000	3	274	49676
57	Col4a1	14	55.5234	105.9899	8.0000	4	758	11126
42	Popdc2	248	68.8587	50.7834	20.0000	3	825	91728
41	Ttn	2083	39.0944	16.6173	8.0000	4	1550	70585
261	Popdc2	1199	203.7681	120.3855	8.0000	4	598	54262
14	Fgfr2	167	37.1900	70.6179	20.0000	3	735	80620
31	Bambi	51	52.1646	135.1754	20.0000	3	1671	75147
289	Fgfr1	259	217.8912	115.8732	8.0000	3	1294	20590
111	Ttn	1406	72.5501	141.4104	8.0000	3	1264	69908
111	Setd2	11	92.0664	18.1363	8.0000	4	812	57296
230	Ep300	50	179.1413	115.1164	8.0000	3	1903	17538
66	Tcf7l1	87	47.5114	141.6156	8.0000	4	1953	64469
90	Cdh2	613	60.3265	157.3351	8.0000	3	1964	7644
9	Cdh2	326	36.5796	57.8527	20.0000	3	403	76611
41	Usp28	216	37.7887	19.6053	8.0000	3	295	71516
141	Ahnak	76	95.0020	178.4693	8.0000	4	1850	426
39	Hand1	261	56.9053	160.8727	20.0000	3	601	83441
238	Foxa1	20	192.2778	62.2104	8.0000	3	1964	21542
122	Bmp7	418	80.5656	166.2871	8.0000	3	1615	5744
111	Gata2	199	165.2034	217.8416	8.0000	3	1717	24195
111	Nrp1	153	182.8440	211.4940	8.0000	4	1118	47504
111	Cers4	84	135.0946	32.5294	8.0000	3	2013	8557
17	Ahnak	369	23.2037	123.2188	8.0000	4	1073	719
111	Tagln	1357	178.2934	162.4631	8.0000	3	373	62713
21	Kmt2d	17	49.6514	103.4217	20.0000	4	888	86084
111	Popdc2	1084	171.4558	159.3672	8.0000	4	707	54147
213	Gata4	1141	168.0775	55.9516	8.0000	3	1815	25469
81	Hoxb5	4	151.4457	50.6084	20.0000	3	529	84472
168	Aldob	29	125.4189	9.4580	8.0000	3	879	1486
85	Prrx2	116	183.0602	174.7953	20.0000	4	419	92398
194	Nid1	667	146.5955	153.9801	8.0000	4	688	46488
42	Meis2	13	209.6223	90.9251	20.0000	3	571	87995
42	Hand1	200	58.2971	124.3404	20.0000	4	539	83380
111	Ttn	1737	85.4946	159.3094	8.0000	4	1528	70239
111	Pcdh19	12	124.7239	218.8360	8.0000	3	1421	48218
22	Popdc2	74	30.0004	19.1629	8.0000	4	567	53137
111	Setd1b	241	190.4647	89.6783	8.0000	3	704	57232
74	Wdr5	99	55.7569	201.9986	8.0000	3	643	72009
19	Hcn4	78	49.4893	62.4330	20.0000	4	366	84023
82	Akr1c19	24	58.5593	102.4096	8.0000	4	351	1176
49	Sfrp1	72	60.6632	139.1993	20.0000	4	285	93221
168	Cdh1	29	129.9656	1.7684	8.0000	4	722	6999
111	Tet3	413	164.0797	120.3826	8.0000	4	605	66416
